max_depth,min_samples_split,min_samples_leaf,accuracy,precision,recall,f1,roc_auc,training_time,experiment
5.0,20,10,0.7903340440653873,0.6036745406824147,0.6149732620320856,0.609271523178808,0.8283269745458688,0.07858395576477051,combined
7.0,2,1,0.7775408670931059,0.5915915915915916,0.5267379679144385,0.5572842998585573,0.816156410641349,0.09192657470703125,combined
7.0,2,5,0.7761194029850746,0.5855072463768116,0.5401069518716578,0.5618915159944368,0.8096311040477091,0.08810877799987793,combined
7.0,2,10,0.7789623312011372,0.5902578796561605,0.5508021390374331,0.5698478561549101,0.8104477380145053,0.09032201766967773,combined
7.0,10,1,0.7775408670931059,0.5921450151057401,0.5240641711229946,0.5560283687943263,0.8158509817726264,0.09074640274047852,combined
7.0,10,5,0.7761194029850746,0.5855072463768116,0.5401069518716578,0.5618915159944368,0.8096311040477091,0.08821392059326172,combined
7.0,10,10,0.7789623312011372,0.5902578796561605,0.5508021390374331,0.5698478561549101,0.8104477380145053,0.08677887916564941,combined
7.0,20,1,0.7782515991471215,0.593939393939394,0.5240641711229946,0.5568181818181818,0.816472193031045,0.08723282814025879,combined
7.0,20,5,0.7768301350390903,0.5872093023255814,0.5401069518716578,0.5626740947075209,0.8099908889015431,0.0889434814453125,combined
7.0,20,10,0.7789623312011372,0.5902578796561605,0.5508021390374331,0.5698478561549101,0.8104477380145053,0.08942794799804688,combined
10.0,2,1,0.7569296375266524,0.5479041916167665,0.4893048128342246,0.5169491525423728,0.7596688943992629,0.10162830352783203,combined
10.0,2,5,0.759772565742715,0.5538922155688623,0.4946524064171123,0.5225988700564972,0.7717954558396447,0.10179471969604492,combined
10.0,2,10,0.7718550106609808,0.5898305084745763,0.46524064171123,0.5201793721973094,0.7890314798805204,0.09603071212768555,combined
10.0,10,1,0.7547974413646056,0.5435435435435435,0.4839572192513369,0.512022630834512,0.7646735275998986,0.09966707229614258,combined
10.0,10,5,0.759772565742715,0.5538922155688623,0.4946524064171123,0.5225988700564972,0.7717954558396447,0.1003720760345459,combined
10.0,10,10,0.7718550106609808,0.5898305084745763,0.46524064171123,0.5201793721973094,0.7890314798805204,0.09736108779907227,combined
10.0,20,1,0.7640369580668088,0.5664556962025317,0.4786096256684492,0.518840579710145,0.780340993213267,0.09849262237548828,combined
10.0,20,5,0.7718550106609808,0.5857605177993528,0.4839572192513369,0.5300146412884333,0.7882316703853063,0.09797191619873047,combined
10.0,20,10,0.7718550106609808,0.5898305084745763,0.46524064171123,0.5201793721973094,0.7890314798805204,0.09705138206481934,combined
